year,team_spotrac,payroll_usd
2011,NYY,210950685
2011,BOS,170490761
2011,PHI,170018182
2011,LAA,146234559
2011,NYM,141831841
2011,CHC,137666584
2011,CHW,127163487
2011,SF,125242452
2011,STL,118919465
2011,LAD,114748517
2011,MIN,113591627
2011,DET,111521015
2011,TEX,103326721
2011,SEA,100829148
2011,ATL,98344460
2011,MIL,91150638
2011,BAL,90804322
2011,HOU,84598388
2011,COL,82897934
2011,CIN,81920546
2011,OAK,75241048
2011,TOR,73491604
2011,WSH,72699723
2011,FLA,65006851
2011,ARI,64297970
2011,CLE,55544993
2011,KC,52072804
2011,SD,48018810
2011,PIT,47140145
2011,TB,45386925
2012,NYY,225589742
2012,PHI,177862491
2012,BOS,173216551
2012,LAA,157168625
2012,DET,143782286
2012,TEX,138312903
2012,SF,137043205
2012,STL,119957765
2012,LAD,116707717
2012,CHC,114891526
2012,MIL,111903295
2012,CHW,108841055
2012,MIN,107939507
2012,NYM,104988166
2012,MIA,98120191
2012,ATL,97928056
2012,WSH,96169359
2012,TOR,95551627
2012,CIN,89901498
2012,COL,87232529
2012,SEA,83289928
2012,BAL,82932168
2012,ARI,80711013
2012,CLE,76577243
2012,KC,70344235
2012,TB,68144135
2012,SD,63831125
2012,PIT,61118682
2012,OAK,60470192
2012,HOU,54067239
2013,LAD,236694375
2013,NYY,234518126
2013,BOS,170734264
2013,PHI,163558353
2013,DET,157332966
2013,LAA,141542644
2013,SF,140280186
2013,TEX,137937146
2013,TOR,131752425
2013,STL,120192638
2013,WSH,116584094
2013,CHW,111777595
2013,CIN,103804640
2013,NYM,101300814
2013,BAL,100120869
2013,CHC,100052899
2013,ATL,94947950
2013,CLE,93008897
2013,ARI,88316478
2013,MIL,87016545
2013,KC,84398434
2013,SEA,82720022
2013,MIN,81300970
2013,COL,79017288
2013,PIT,71480984
2013,SD,67649701
2013,TB,67600703
2013,OAK,67055517
2013,MIA,35874855
2013,HOU,28727913
2014,LAD,242157818
2014,NYY,212512317
2014,PHI,175225539
2014,DET,172143106
2014,BOS,170095758
2014,LAA,165244781
2014,SF,160336782
2014,WSH,143278577
2014,TOR,141812172
2014,TEX,138770064
2014,STL,121340470
2014,ATL,116865707
2014,SEA,115534174
2014,BAL,113562943
2014,CIN,113351318
2014,MIL,107552546
2014,ARI,106343190
2014,KC,98558300
2014,COL,96772365
2014,NYM,94478037
2014,OAK,92888412
2014,CHC,90364741
2014,CHW,89297302
2014,MIN,87494478
2014,SD,85001967
2014,CLE,84481929
2014,TB,83321046
2014,PIT,76976823
2014,HOU,52182183
2014,MIA,50049679
2015,LAD,301735080
2015,NYY,221242659
2015,BOS,183481478
2015,SF,181613630
2015,WSH,165655095
2015,DET,162160921
2015,TEX,149234268
2015,LAA,143348162
2015,PHI,141722639
2015,TOR,138309664
2015,CHC,132993810
2015,STL,132178951
2015,KC,126391174
2015,SEA,126045473
2015,CHW,119812987
2015,BAL,116560870
2015,NYM,115698927
2015,CIN,112333097
2015,ATL,110777379
2015,SD,107915272
2015,MIN,106231818
2015,COL,101277051
2015,PIT,99435606
2015,MIL,93298373
2015,HOU,81450835
2015,OAK,80491339
2015,CLE,77404413
2015,ARI,76781801
2015,TB,73241552
2015,MIA,73240525
2016,LAD,266745494
2016,NYY,220743376
2016,BOS,207758836
2016,DET,200179285
2016,CHC,186772494
2016,SF,178834344
2016,LAA,174290373
2016,TEX,161021690
2016,BAL,154148832
2016,STL,149355870
2016,TOR,148385479
2016,NYM,147236560
2016,SEA,147003780
2016,KC,141587358
2016,WSH,139383852
2016,CHW,129715686
2016,COL,107902280
2016,CLE,105971268
2016,PHI,103898809
2016,HOU,99828742
2016,PIT,99518136
2016,ARI,97874482
2016,MIN,97244457
2016,ATL,95839382
2016,CIN,88626437
2016,SD,83435559
2016,OAK,83109288
2016,MIA,77715306
2016,TB,63908549
2016,MIL,63161191
2017,LAD,259102593
2017,BOS,209902508
2017,NYY,209044502
2017,SF,189816809
2017,DET,188828874
2017,WSH,182238854
2017,TOR,175617487
2017,BAL,175254785
2017,CHC,172092536
2017,LAA,166161209
2017,TEX,163450840
2017,SEA,160797330
2017,KC,148227822
2017,STL,146256085
2017,NYM,143990158
2017,COL,139324341
2017,HOU,138344211
2017,CLE,132258928
2017,MIN,121048871
2017,MIA,110765599
2017,ATL,106468575
2017,PHI,104020808
2017,ARI,102619475
2017,PIT,100503030
2017,CIN,96436003
2017,CHW,85495238
2017,TB,77811205
2017,SD,76921678
2017,OAK,73477080
2017,MIL,69924718
2018,BOS,227398860
2018,SF,205665348
2018,LAD,199582045
2018,CHC,194259933
2018,WSH,181382609
2018,NYY,180098151
2018,LAA,173717599
2018,STL,163534311
2018,HOU,163506636
2018,SEA,160993827
2018,TOR,150946147
2018,NYM,150187987
2018,COL,143968544
2018,CLE,142604703
2018,ARI,141724597
2018,TEX,140625018
2018,DET,130995349
2018,ATL,130852350
2018,BAL,130413607
2018,KC,129944821
2018,MIN,115538840
2018,MIL,109987885
2018,PHI,104297471
2018,SD,102710815
2018,CIN,100305768
2018,MIA,91660500
2018,PIT,91025861
2018,OAK,80315288
2018,CHW,71839808
2018,TB,68895137
2019,BOS,229166880
2019,NYY,223019037
2019,CHC,221580085
2019,LAD,207000814
2019,SF,178582126
2019,STL,173762164
2019,WSH,172321791
2019,HOU,167138259
2019,LAA,160270385
2019,PHI,159637244
2019,COL,157091013
2019,NYM,146835812
2019,TEX,146538766
2019,SEA,144388309
2019,ATL,143947963
2019,MIL,136850200
2019,CIN,128691569
2019,MIN,125256003
2019,ARI,119327905
2019,DET,114631137
2019,TOR,111370699
2019,CLE,106838693
2019,KC,104773003
2019,SD,103699790
2019,OAK,98644531
2019,CHW,91371201
2019,MIA,75596271
2019,BAL,73328658
2019,PIT,72176474
2019,TB,64178722
2020,LAD,124917397
2020,NYY,111939081
2020,CHC,86596171
2020,BOS,84210390
2020,HOU,83045444
2020,NYM,81945598
2020,WSH,75067703
2020,PHI,73543547
2020,SF,73408817
2020,STL,73246343
2020,SD,73097954
2020,COL,67808533
2020,LAA,67040893
2020,ARI,65601868
2020,TEX,64215248
2020,ATL,63561931
2020,MIN,59679689
2020,CIN,55535890
2020,TOR,55312875
2020,CHW,53665251
2020,SEA,50433829
2020,DET,43164880
2020,MIL,41434086
2020,CLE,39299107
2020,OAK,36720178
2020,KC,34934696
2020,MIA,34222260
2020,TB,28290689
2020,PIT,25343022
2020,BAL,23478635
2021,LAD,261320507
2021,NYY,205669863
2021,NYM,201189189
2021,HOU,194222042
2021,PHI,190519366
2021,BOS,187100784
2021,LAA,183849560
2021,SD,179767122
2021,SF,171890308
2021,ATL,152753755
2021,STL,151469994
2021,TOR,150132759
2021,CHC,144040237
2021,WSH,144023139
2021,CHW,140926169
2021,CIN,126608690
2021,MIN,121417939
2021,COL,116285650
2021,MIL,99377415
2021,TEX,95791911
2021,ARI,91636935
2021,KC,91595545
2021,OAK,90400598
2021,DET,86348945
2021,SEA,83822113
2021,TB,70836327
2021,MIA,58157900
2021,PIT,54356609
2021,CLE,50670534
2021,BAL,42421870
2022,NYM,266670327
2022,LAD,264996019
2022,NYY,252957200
2022,PHI,244458518
2022,SD,224492122
2022,BOS,211808993
2022,CHW,203203922
2022,HOU,183791796
2022,ATL,179935585
2022,LAA,179877811
2022,TOR,177286618
2022,SF,162453046
2022,STL,156428325
2022,CHC,151054737
2022,MIN,150363491
2022,TEX,150035993
2022,COL,140072825
2022,DET,136248620
2022,MIL,133086663
2022,WSH,126782278
2022,CIN,115417321
2022,SEA,113926407
2022,TB,98342073
2022,KC,92613711
2022,MIA,88452043
2022,ARI,85966193
2022,CLE,66717694
2022,PIT,56197847
2022,OAK,48443900
2022,BAL,44888388
2023,NYM,347949991
2023,NYY,278747922
2023,SD,256049558
2023,TEX,251332754
2023,PHI,245460961
2023,HOU,237107748
2023,LAD,235747111
2023,LAA,230534276
2023,TOR,214916600
2023,ATL,206424932
2023,CHC,189869996
2023,SF,189413646
2023,BOS,182930664
2023,COL,176240555
2023,CHW,162867704
2023,MIN,156104540
2023,STL,148793028
2023,MIL,129238354
2023,SEA,127993987
2023,DET,121474919
2023,ARI,119296377
2023,MIA,105435809
2023,CIN,103954851
2023,KC,96083853
2023,WSH,93383875
2023,CLE,92103949
2023,TB,79249107
2023,PIT,75734681
2023,BAL,71064917
2023,OAK,62258711
2024,NYM,322960494
2024,NYY,315866982
2024,LAD,266640208
2024,HOU,248670553
2024,PHI,244353627
2024,ATL,238108491
2024,CHC,231700554
2024,TEX,227545408
2024,TOR,219180044
2024,SF,207092069
2024,BOS,190176844
2024,STL,179440274
2024,ARI,178427194
2024,SD,172855090
2024,LAA,171986921
2024,SEA,149346087
2024,COL,147506521
2024,CHW,142916866
2024,MIN,131225880
2024,KC,125670914
2024,MIL,124643685
2024,BAL,111309008
2024,WSH,107128130
2024,CLE,107113214
2024,CIN,102298823
2024,DET,98607894
2024,MIA,97569865
2024,TB,89852001
2024,PIT,85405037
2024,OAK,63503127
2025,LAD,350024106
2025,NYM,342303011
2025,NYY,304091683
2025,PHI,292315191
2025,TOR,255255406
2025,HOU,232140003
2025,TEX,226526491
2025,SD,223125239
2025,ATL,220361106
2025,CHC,214020073
2025,LAA,208420995
2025,BOS,203658855
2025,SF,178562152
2025,ARI,177399443
2025,SEA,165596493
2025,BAL,158571377
2025,DET,157542361
2025,KC,133630058
2025,STL,131152698
2025,MIN,129650732
2025,COL,127325786
2025,MIL,121618720
2025,CIN,119036486
2025,WSH,109465924
2025,CLE,100265946
2025,TB,88629788
2025,PIT,84433338
2025,CHW,79960763
2025,ATH,78384241
2025,MIA,67794627
